The Blarney Pilgrim,jig,6/8,1/8,Dmix,|:DED DEG| A2A ABc| BAG AGE| GEA GED|DED DEG|A2A ABc|BAG AGE| GED D3:|ded dBG|AGA BGE| ded dBG|AGA GAB|g2e dBG|AGA BGE|B2G AGE| GAG G3:|A2D B2D| A2D ABc|BAG AGE|GEA GED|ADD BDD|ADD ABc|BAG AGE|GED D3:|
The Musical Priest,reel,4/4,1/8,Bmin,|:BA|FBBA B2Bd|cBAf ecBA|FBBA B2Bd|cBAc B2:||:Bc|d2dc dfed|(3cBA eA fAeA|dcBc defb|afec B2:||Bc|dBB2 bafb|afec ABce|dB B2 bafb|afec B2Bc|dB B2 bafb|afec ABce|dcBc defb|afec B2|
The Wind That Shakes The Barley,reel,4/4,1/8,Dmaj,A2AB AFED|B2BA BcdB|A2AB AFED|gfed BcdB|A2AB AFED|B2BA BcdB|A2AB AFED|gfed Bcde||f2fd g2ge|f2fd Bcde|f2fd g2fg|afed Bcde|f2fd g2ge|f2fd Bcde|defg a2-ab|afed BcdB||
The Kesh,jig,6/8,1/8,Gmaj,|:G3 GAB| A3 ABd|edd gdd|edB dBA|GAG GAB|ABA ABd|edd gdd|BAF G3:|B2B d2d|ege dBA|B2B dBG|ABA AGA|BAB d^cd|ege dBd|gfg aga| bgg g3:|
Drowsy Maggie,reel,4/4,1/8,Edor,|:E2BE dEBE|E2BE AFDF|E2BE dEBE|BABc dAFD:|d2fd c2ec|defg afge|d2fd c2ec|BABc dAFA|d2fd c2ec|defg afge|afge fdec|BABc dAFD|
The Boys Of Bluehill,hornpipe,4/4,1/8,Dmaj,||FA|BA FA D2 FA| BA (3Bcd e2 de |fa gf eg fe|df ed B2 dB|BA FA D2 FA| BA (3Bcd e2 de |fa gf eg fe|d2 f2 d2 :||: fg| af df a2 g2 | ef ga b2 ag |fa gf eg fe |df ed B2 dB|BA FA D2 FA| BA (3Bcd e2 de |fa gf eg fe|d2 f2 d2 :|
The Sally Gardens,reel,4/4,1/8,Gmaj,|:G2GA BAGB|dBeB dBAB|d2Bd efge|dBAB GEDE|GFGA BAGB|d2eB dBAB|d2Bd efge|dBAB G4:||:dggf g2de|g2bg ageg|eaag a2eg|a2bg ageg|dggf g2de|g2bg ageg|d2Bd efge|dBAB G4:|
Calliope House,jig,6/8,1/8,Dmaj,|dAA fAA|eAA fAA|Bee e2d|efe dBA|FAA A2F|A2B d2e|1 f2f fed|e3 e2A:|2 f2f edc|d3 efg||a2a faa|eaa faa|g2g fgf|efe dBA|FAA A2F|A2B d2e|1 f2f fed|e3 efg:|2 f2f edc| d3 d3||
The Cup Of Tea,reel,4/4,1/8,Edor,|:BAGF GEEF|GEBE GEEA|BAGF GEEG|FDAD FDDA|BAGF GEEF|GEBE GEEA|B2 BA GABc|dBAG FD D2:|K:D|:d2 eg fdec|d2 eg fB B2|d2 eg fdec|dBAG FD D2|d2 eg fdec|dfaf g2 fg|afge fdec|dBAG FD D2:||:FAdA FABA|FAdA FEE2|FAdA FABc|dBAG FD D2|FAdA FABA|FAde fee2|fdec dBAF|GBAG FD D2:|
Saint Anne's,reel,4/4,1/8,Dmaj,|:fedf edcB|A2FA DAFA|B2GB EBGB|A2FA DAFA|fedf edcB|A2FA DAFA|BGed cABc|eddc d2 de:||:f2fg fedc|Bggf g2gf|edcB ABce|baa^g abag|f2fg fedc|Bggf g2gf|edcB ABcd|eddc d2 de:|
The Congress,reel,4/4,1/8,Ador,|:eAAG A2Bd|eaaf gedg|eAcA eAcA|BGGA Bdeg|eAAG A2Bd|eaaf gedB|cBcd eged|cABG A2Bd:||:eaag abag|eaag egdg|egdg egdg|eaaf gedg|eaag a2ag|eaaf gedB|c2cd e2ed|cABG A2Bd:|
The Swallowtail,jig,6/8,1/8,Ador,|:cBA eAA|cBA edc|BGG dGG|gfe dcB|cBA eAA|cBA e2f|gfe dcB|cBA A2d:|efg a2b|a2b age|efg a2b|age g2d|efg a2b|a2b age|gfe dcB|cBA A2d:|
The Mountain Road,reel,4/4,1/8,Dmaj,F2 AF BFAF| F2 AF EFDE| F2 AF BFAF| G2 FG EFDE|F2 AF BFAF|F2 AF EFD2| FAA2 BAFA|BABd eddA|d2dA BAFA| d2 de fgfe| d2 dA BAFA| G2 FG EDFA|d2 dA BAFA| d2 de fgfe| d2 dA BAFA| G2 FG EFDE|
The Lark In The Morning,jig,6/8,1/8,Dmaj,|:AFA AFA|BGB BdB|AFA AFA|fed BdB|AFA AFA|BGB BdB|def afe|dBB BdB:||:def afe| bff afe|def afe|dBB BdB|def afe|bff afe|g2e f2d|edB BdB:||:dff fef|fef fef|dff fef|edB BdB|dff fef|fef def|g2e f2d|edB BdB:||:Add fdd|edd fdd|Add fdd|edB BdB|Add fdd|edB def| g2e f2d|edB BdB:|
Sí Beag Sí Mór,waltz,3/4,1/8,Dmaj,de |: f3e d2 | d2 de d2 |B4 A2 | F4 A2 | BA Bc d2 | e4 de| f2 f2 e2 |d4 f2 | B4 e2 | A4 d2 | F4 E2 | D4 e2 | B4 e2 | A4 dc | d6 | d4 de :||: f2 fe d2 | ed ef a2 | b4 a2 | f4 ed | e4 a2 | f4 e2 | d4 B2 | A4 BA |F4 E2 | D4 f2|B4 e2 | A4 a2| ba gf ed | e4 dc | d6 |1 d4 de:|2 d6 ||
The Britches Full Of Stitches,polka,2/4,1/8,Dmaj,|:d>e fd|ed fd|d>e fd|edB2|d>e fd|ed fa|d>e dB|BA A2:||:~a2af|ed ef|~a2af|edb2|~a2af|ed ef|d>e dB|BA A2:|
The Earl's Chair,reel,4/4,1/8,Dmaj,|:B2Bd BAFA | B2Bd BAFA | AF (3FFF DF (3FFF | AFdB AFEF |B2Bd BAFA | B2Bd BAFA | AFAB dcdf |edef d3z :||:e2ec d2Bd | efec dFAB | e2ec d3e | fedB ADFA |e2ef eB (3BBB | gB (3BBB defg |afbf afef | gedB ADFA :|
The Irish Washerwoman,jig,6/8,1/8,Gmaj,"|:BGG DGG|BGB dcB|cAA EAA|cAc edc|BGG DGG|BGB dcB|cBc Adc|BGG G3:||:BGG DGG|BGB BAG|AFF DFF|AFA AGF|EGG DGG|CGG B,GG|cBc Adc|BGG G3:|"
The Merry Blacksmith,reel,4/4,1/8,Dmaj,|:AB|d2dA BAFA|ABdA BAFA|ABde fded|Beed egfe|d3A BAFA-|ABdA BAFA-|ABde fdec|dBAF D2:||:fg|a2ag f2fe|d2dA BAFA-|ABde fded|Beed egfg|abag fgfe|dcdA BAFA|ABde fdec|dBAF D2:|
Tripping Up The Stairs,jig,6/8,1/8,Dmaj,|:FAA GBB|FAd fed|cBc ABc|dfe dAG|FAA GBB|FAd fed|c2c ABc|dfe d2A:|dBB fBB|dBB fed|cAA eAA|efe edc|dBB fBB|fgf fed|cBc ABc|dfe d3:|
The Wise Maid,reel,4/4,1/8,Dmaj,|:DE|F2FG FEDE|FAAB AFED|d2eg fdec|dBAG BEED|F2FG FEDE|FAAB AFED|d2eg fdec|dBAG FD:||:FA|d2AG FDFA|dfaf gfeg|fedf eAcA|dfed cA A2|BAGB ADFD|dfaf gfed|Bdce dBAG|FGEF D2:|
John Ryan's,polka,2/4,1/8,Dmaj,dd B/c/d/B/ | AF ED | dd B/c/d/B/ | AF E2 |dd B/c/d/B/ | AF Ad | fd ec | d2 d2 ||fd de/f/ | gf ed | fd de/f/ | gf a2 |fd de/f/ | gf ed | fd ec | d2 d2 ||
Miss McLeod's,reel,4/4,1/8,Gmaj,|:G2 BG AGBG|B2 BA BcBA|G2 BG AGBG|A2 AG AcBA|G2 BG AGBG| B2 BA B2 d2|e2 ef edef|gfed BcBA:||:G2 gf edeg|B2 BA BcBA| G2 gf edeg|a2 ag aeef|g2 gf edeg|BcBA B2 d2|edef edef|gfed BcBA:|
My Darling Asleep,jig,6/8,1/8,Dmaj,|:fdd cAA|BGG A2G|FAA def|gfg eaa|fdd cAA|BGG A2G|FAA def|gec d3:|FAA Add|FAA BGG|FAA def|gfg eaa|fdd cAA|BGG A2G|FAA def|gec d3:|
The Bucks Of Oranmore,reel,4/4,1/8,Dmaj,|A2FA A2dB|A2FA BEE2|A2FA A2Bd|egfd edBd|A2FA A2dB|A2FA BEE2|DEFG AFAB|defd edBd|||ADFD A2dB|ADFD BEE2|ADFD A2Bd|egfd edBd|ADFD A2dB|ADFD BEE2|DEFG AFAB|defd efge|||a2fd edef|a2fd ed B2|a2fd edef|gefd edB2|a2fd edef|a2fd edB2|faaf bfaf|gefd edBd|||f2df e2de|f2df edBd|f2df e2de|gefd edBd|f2df e2de|f2df edBd|faaf bfaf|gefd edBd|||Adfd edfd|Adfd edBd|Adfd edfd|gefd edBd|Adfd edfd|Adfd edB2|faaf bfaf|gefd edBd||
The Humours Of Tulla,reel,4/4,1/8,Gmaj,|: G2DG EGDE | G2BG AGEF | G2DG EGDG | (3EFG AB c2BA :||: dBAB GB~B2 | dB~B2 c2Bc | dBAB GBAB | (3EFG AB c2Bc :|
The Kerry,polka,2/4,1/8,Dmaj,|:fA BA|fA BA|d2 e>f|ed BA|fA BA| fA BA|d2 e>f| ed d2:||:fa f>e| ed BA|d2 e>f| ed BA|fa f>e| ed BA|d2 e>f |ed d2:|
Merrily Kissed The Quaker,slide,12/8,1/8,Gmaj,|:D|GAB G2B c2A BGE|GAB DEG A2A AGE|GAB GAB cBA BGE|GAB AGF G3 G2:||:A|BGG AGG BGG AGG|GAB DEG A2A AGA|BGG AGG BGG AGG|GAB AGF G3 G2:||:d|g2g a2a bag edB|g2g gab a2a agf|g2g f2f ege dBA|GAB AGF G3 G2:|
The Foxhunter's,slip jig,9/8,1/8,Dmaj,|: FDF F2D G2E | FDF F2D E2D | FDF F2D G2B | AFD DEF E2D :||: B3 BAG FGA | B2E E2F G2B | ABc dcB ABc | d2 D D2 F E2 D :||: fdf f2d g2e | fdf f2d e2d | fdf f2d g2b | afd def e2d :||: gfe dcB AGF | B2 E E2 F G2 B | ABc dcB ABc | d2 D DEF E2 D :|
The Monaghan,jig,6/8,1/8,Emin,|:BGE F2E|BGE FGA|BGE F2E|AFD FGA|GBE F2E|BGE FGA|d^cd ABG|FDF AGF:||:EGB efg|fed edB|EGB dBG|FDF AGF|EGB efg|fed edB|d^cd ABG|FDF AGF:||:g2e efe|gfg bge|g2e efe|fdf afd|g2e efe|gfg bge|d^cd ABG|FDF AGF:||:EGB edB|dBG AFD|EGB dBG|FDF AGF|EGB GBd|Beg efg|d^cd ABG|FDF AGF:|
Brenda Stubbert's,reel,4/4,1/8,Ador,|:B|A/A/A (BA) GAAB|A/A/A (BA) edde|G2 (BA) BGGB| c2 (BA) BGGB|A/A/A (BA) GAAB|A/A/A (BA) edda|gedB GABd|{d}e2 dB eAA:||:B|A/A/A a2 A/A/A g2| Aage ageg|G2 (BA) BGGB| c2 (BA) BGGB|[1A/A/A a2 A/A/A g2| Aage agea| gedB GABd|{B}e2 dB eAA:|[2A/A/A (BA) GAAB|A/A/A (BA) edda| gedB GABd|{d}e2 dB eAA|]
Jimmy Ward's,jig,6/8,1/8,Gmaj,|: G3 GAB | AGE GED | GGG AGE |GED DEF |G3 GAB | AGE GAB |cBA BGE |1 DED DEF:|2 DED D2B|||:cBA BAG | ABA AGB | cBA BGE |DED GAB|cBA BAG | ABA ABc |dcB AGE |1 GED D2B :|2 GED DEF || G6||
The Man Of The House,reel,4/4,1/8,Emin,|:E2BE GABG|E2BE FDAD|E2BE GABc|1 dBcA BGED:|2 dBcA BGE2||e2ge f2af|gfed edBd|e2ge f2af|gfed Beed|efge fgaf|gfed efga|bgaf gfed|edBA GEED||
Haste To The Wedding,jig,6/8,1/8,Dmaj,|:AFA Agf|ede fdB|AFA dAF|EFE EFG|AFA Agf|ede fdB|A2g faf|ded d3:||:afa afa|bgb bgb|afa agf|ede efg|a3 f3|ede fdB|A2g faf|ded d3:|
The Jig Of Slurs,jig,6/8,1/8,Dmaj,|:Add cdd|Bdd Add|Bdd Add|Bee edB|Add cdd|Bdd Add|Bdd cde|fec d3:||:A2f fef|a2f fed|B2e ede|f2f edB|A2f fef|a2f fed|Add cde|fec d3:|K:Gmaj|:G2g gfg|aff gff|G2g gfg|aff g3|G2g gfg|aff gff|e2e efg|fed e3:||:GBB Bdd|dee edB|GBB Bdd|dee efg|GBB Bdd|dee edB|e2e efg|fed e3:|
Rolling In The Ryegrass,reel,4/4,1/8,Dmaj,|:A2AB AFDF|G2BG dGBG|ABAF DFAF|GBAG E2D2:||:ABde f2fd|g2ge fedB|ABde fefa|gfdf e2d2:|
